Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed House Committee,Passed House Committee,Failed House,Passed House,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To President,Veto,Became Law
H.R. 305,Bill,To award a Congressional Gold Medal to Officer Eugene Goodman.,Not assigned,1/13/21,"Rep. Charlie Crist (D, FL-13)",https://www.congress.gov/bill/117th-congress/house-bill/305/cosponsors,Financial Services,https://www.congress.gov/bill/117th-congress/house-bill/305/text,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Date,Action,Description,,,,,,,,,,,,,,,,,,,
1/13/21,Introduced in the House,,,,,,,,,,,,,,,,,,,,
1/13/21,Referred to the House Financial Services Committee.,,,,,,,,,,,,,,,,,,,,
