Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed House Committee,Passed House Committee,Failed House,Passed House,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To President,Veto,Became Law
H.R. 151,Bill,"To address the public health risks posed by wildlife markets, and for other purposes.",Not assigned,1/4/21,"Rep. Mike Quigley (D, IL-5)",https://www.congress.gov/bill/117th-congress/house-bill/151/cosponsors?pageSort=lastToFirst&loclr=cga-member&searchResultViewType=expanded,Foreign Affairs/Energy and Commerce/Judiciary/Ways and Means/Financial Services/Natural Resources,https://www.congress.gov/bill/117th-congress/house-bill/151/text,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Date,Action,Description,,,,,,,,,,,,,,,,,,,
1/4/21,Introduced in the House,"H.R. 151 is also known as the Preventing Future Pandemics Act. The bill would direct the State Department to work with international partners to shut down commercial wildlife markets and trade, and end the import, export, and sale of live wildlife for consumption in the United States. It would also authorize funding to reduce demand for wildlife markets.",,,,,,,,,,,,,,,,,,,
1/4/21,Referred to six House committees,"The bill’s authors, Reps. Mike Quigley (D, IL-5) and Fred Upton (R, MI6) in the House and Sens. Cory Booker (D-NJ) and John Cornyn (R-TX) in the Senate, argue that the wildlife trade poses a significant global health risk. COVID-19, Ebola, and HIV/AIDS are among a number of viruses that originated from animals.",,,,,,,,,,,,,,,,,,,
