Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed House Committee,Passed House Committee,Failed House,Passed House,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To President,Veto,House Veto Override,Senate Veto Override,Became Law
H.Res. 25,Resolution,"Directing the Committee on Ethics to investigate, and issue a report on, whether any and all actions taken by Members of the 117th Congress who sought to overturn the 2020 Presidential election violated their oath of office to uphold the Constitution or the Rules of the House of Representatives, and should face sanction, including removal from the House of Representatives.",Congress,1/11/21,"Rep. Cori Bush (D, MO-1)",https://www.congress.gov/bill/117th-congress/house-resolution/25/cosponsors?pageSort=lastToFirst&loclr=cga-member&searchResultViewType=expanded,Judiciary/Rules,https://www.congress.gov/bill/117th-congress/house-resolution/25/text,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
Date,Action,Description,,,,,,,,,,,,,,,,,,,,,
1/11/21,Introduced in the House.,"H.Res. 24 is the article of impeachment for President Donald J. Trump, charging that he incited violence against the American government in attempting to overturn the results of the presidential election, leading to the storming of the Capitol by his supporters. The article also calls for him to be disqualified from ever holding office again.",,,,,,,,,,,,,,,,,,,,,
1/11/21,Referred to two House committees,"All 222 House Democrats voted for impeachment, along with 10 Republicans, the most members of the president’s party out of all four impeachments. Trump is the first president to be impeached twice, and will face a trial in the Senate, likely after he leaves office on January 20.",,,,,,,,,,,,,,,,,,,,,
