Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed House Committee,Passed House Committee,Failed House,Passed House,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To President,Veto,Became Law
H.J.Res. 17,Bill,Removing the deadline for the ratification of the equal rights amendment.,Not assigned,1/21/21,"Rep. Jackie Speier (D, CA-14)",https://www.congress.gov/bill/117th-congress/house-resolution/J17/cosponsors,Judiciary,https://www.congress.gov/bill/117th-congress/house-resolution/J17/text,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Date,Action,Description,,,,,,,,,,,,,,,,,,,
1/21/21,Introduced in the House.,,,,,,,,,,,,,,,,,,,,
1/21/21,Referred to the House Judiciary Committee.,,,,,,,,,,,,,,,,,,,,
