Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed House Committee,Passed House Committee,Failed House,Passed House,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To President,Veto,House Veto Override,Senate Veto Override,Became Law
H.Res. 24,Resolution,"Impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors",Congress,1/11/21,"Rep. David Cicilline (D, RI-1)",https://www.congress.gov/bill/117th-congress/house-resolution/24/cosponsors?pageSort=lastToFirst&loclr=cga-member&searchResultViewType=expanded,Judiciary,https://www.congress.gov/bill/117th-congress/house-resolution/24,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
Date,Action,Description,,,,,,,,,,,,,,,,,,,,,
1/11/21,Introduced in the House.,"H.Res. 24 is the article of impeachment for President Donald J. Trump, charging that he incited violence against the American government in attempting to overturn the results of the presidential election, leading to the storming of the Capitol by his supporters. The article also calls for him to be disqualified from ever holding office again.",,,,,,,,,,,,,,,,,,,,,
1/11/21,Referred to the House Judiciary Committee.,"All 222 House Democrats voted for impeachment, along with 10 Republicans, the most members of the president’s party out of all four impeachments. Trump is the first president to be impeached twice, and will face a trial in the Senate, likely after he leaves office on January 20.",,,,,,,,,,,,,,,,,,,,,
1/12/21 at 10:59 pm,"Reported to the House for two hours of debate,",,,,,,,,,,,,,,,,,,,,,,
1/13/21 at 12:24 pm,"<a href=""https://www.congress.gov/bill/117th-congress/house-resolution/41"" target=""_blank"">H.Res. 41</a>, which sets the rules for H.Res. 24, passes House 221-203.",,,,,,,,,,,,,,,,,,,,,,
1/13/21 at 12:24 pm,"Considered under the provisions of <a href=""https://www.congress.gov/bill/117th-congress/house-resolution/41"" target=""_blank"">H.Res. 41</a>.",,,,,,,,,,,,,,,,,,,,,,
1/13/21 at 12:29 pm,The House begins two hours of debate.,,,,,,,,,,,,,,,,,,,,,,
1/13/21 at 4:36 pm,Passed in the House 232-197.,,,,,,,,,,,,,,,,,,,,,,
