Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed House Committee,Passed House Committee,Failed House,Passed House,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To President,Veto,House Veto Override,Senate Veto Override,Became Law
H.Res. 39,Resolution,"Honoring the bravery and self-sacrifice by officers of the United States Capitol Police and other Federal, State, and local law enforcement agencies during the January 6, 2021, attack on the United States Capitol.",Crime and Law Enforcement,1/12/21,"Rep. J. French Hill (R, AR-2)",https://www.congress.gov/bill/117th-congress/house-resolution/39/cosponsors?pageSort=lastToFirst&loclr=cga-member&searchResultViewType=expanded,House Administration/Judiciary,https://www.congress.gov/bill/117th-congress/house-resolution/39/text,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
Date,Action,Description,,,,,,,,,,,,,,,,,,,,,
1/12/21,Introduced in the House.,,,,,,,,,,,,,,,,,,,,,,
1/11/21,Referred to two House committees,,,,,,,,,,,,,,,,,,,,,,
