Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed House Committee,Passed House Committee,Failed House,Passed House
H.Res. 51,Resolution,"Expressing deep gratitude on behalf of the people of the United States to the journalists and news staff who risked threats of injury and death to chronicle the horrendous details of the insurrection on January 6, 2021.",Not assigned,1/19/21,"Rep. Cheri Bustos (D, IL-17)",https://www.congress.gov/bill/117th-congress/house-resolution/51/cosponsors,Judiciary,https://www.congress.gov/bill/117th-congress/house-resolution/51/text,TRUE,FALSE,FALSE,FALSE,FALSE
Date,Action,Description,,,,,,,,,,,
1/19/21,Introduced in the House.,,,,,,,,,,,,
1/19/21,Referred to the House Judiciary Committee.,,,,,,,,,,,,
