Name,Type,Description,Policy Area,Introduced,Sponsor,Coauthors,Committees,Latest Action,Introduced,Failed Assembly Committee,Passed Assembly Committee,Failed Assembly,Passed Assembly,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To Governor,Veto,Became Law
A.B. 14,Bill,Internet for All Act of 2021,Communications,12/16/2020,Asm. Cecilia Aguiar-Curry (D-Winters),,Communications and Conveyance/Local Government,1/11/21 - Referred to two Assembly committees,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
S.B. 57,Bill,"Would allow San Francisco, Oakland, and Los Angeles County to approve overdose prevention programs",Drugs/alcohol,12/7/2020,Sen. Scott Wiener (D-San Francisco),,Not assigned,12/8/20 - Received from printer. May be heard in committee on January 7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
S.B. 6,Bill,Neighborhood Homes Act,Housing,12/7/2020,Sen. Anna Caballero (D-Merced),,Not assigned,12/8/20 - Received from printer. May be heard in committee on January 7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
