Name,Type,Description,Policy Area,Introduced,Sponsor,Coauthors,Committees,Latest Action,Introduced,Failed Assembly Committee,Passed Assembly Committee,Failed Assembly,Passed Assembly,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To Governor,Veto,Became Law
A.B. 109,Bill,To make a minor change to the law establishing the Cannabis Control Appeals Panel,Cannabis,12/16/2020,Asm. Jim Cooper (D-Elk Grove),,Not assigned,12/17/20 - Received from printer. May be heard in committee on January 16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A.B. 29,Bill,To require all materials provided for a public meeting to be publicly posted within 72 hours of the meeting,State bodies,12/7/2020,Asm. Jim Cooper (D-Elk Grove),,Governmental Organization,1/11/21 - Referred to the Governmental Organization Committee,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A.B. 17,Bill,"To amend Government Code Section 1029, which disqualifies certain people from holding office or becoming a peace officer",Peace officers,12/7/2020,Asm. Jim Cooper (D-Elk Grove),,Public Safety,1/11/21 - Referred to the Public Safety Committee,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A.B. 38,Bill,To require an annually revised statewide bail schedule for all bailable felony offenses and for all misdemeanor and infraction offenses except vehicle code infractions,Bail,12/7/2020,Asm. Jim Cooper (D-Elk Grove),,Public Safety,1/11/21 - Referred to the Public Safety Committee,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
S.B. 6,Bill,Neighborhood Homes Act,Housing,12/7/2020,Sen. Anna Caballero (D-Merced),,Not assigned,12/8/20 - Received from printer. May be heard in committee on January 7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
