Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed House Committee,Passed House Committee,Failed House,Passed House,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To President,Veto,Became Law
H.R. 1133,Bill,"To amend the Higher Education Act of 1965 to include certain employment as a health care practitioner as eligible for public service loan forgiveness, and for other purposes.",Education,2/18/21,"Rep. Josh Harder (D, CA-10",https://www.congress.gov/bill/117th-congress/house-bill/1133/cosponsors,Education and Labor,https://www.congress.gov/bill/117th-congress/house-bill/1133/text,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Date,Action,Description,,,,,,,,,,,,,,,,,,,
2/18/21,Introduced in the House.,,,,,,,,,,,,,,,,,,,,
2/18/21,Referred to the House Education and Labor Committee.,,,,,,,,,,,,,,,,,,,,
