Name,Type,Description,Policy Area,Introduced,Sponsor,Coauthors,Committees,Link,Introduced,Failed Assembly Committee,Passed Assembly Committee,Failed Assembly,Passed Assembly,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To Governor,Veto,Became Law
A.B. 297,Bill,Wildfire Prevention and Forest Resiliency Act of 2021,Wildfires,1/25/21,Asm. James Gallagher (R-Yuba City),,,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB297,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Introduced by,Principal coauthors,Coauthors,,,,,,,,,,,,,,,,,,,
"Assembly Members Gallagher, Bigelow, Megan Dahle, and Patterson",,"Assembly Members Choi, Cunningham, Flora, Fong, Kiley, Lackey, Mathis, Seyarto, Smith, Valladares, Voepel, and Waldron, Senators Jones, Nielsen, and Ochoa Bogh",,,,,,,,,,,,,,,,,,,
Date,Action,Description,,,,,,,,,,,,,,,,,,,
1/25/21,Read for the first time and sent to print.,,,,,,,,,,,,,,,,,,,,
1/26/21,Received from printer. May be heard in committee on February 25.,,,,,,,,,,,,,,,,,,,,
