Name,Type,Description,Policy Area,Introduced,Sponsor,Coauthors,Committees,Link,Introduced,Failed Assembly Committee,Passed Assembly Committee,Failed Assembly,Passed Assembly,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To Governor,Veto,Became Law
A.B. 299,Bill,To establish an apprenticeship grant program to encourage community college students to go into career technical education and vocational programs.,Education,1/25/21,Asm. Carlos Villapudua (D-Stockton),,,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB299,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Introduced by,Principal coauthors,Coauthors,,,,,,,,,,,,,,,,,,,
Assembly Member Villapudua,,Assembly Members Cristina Garcia and Waldron,,,,,,,,,,,,,,,,,,,
Date,Action,Description,,,,,,,,,,,,,,,,,,,
1/25/21,Read for the first time and sent to print.,,,,,,,,,,,,,,,,,,,,
1/26/21,Received from printer. May be heard in committee on February 25.,,,,,,,,,,,,,,,,,,,,
