Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed House Committee,Passed House Committee,Failed House,Passed House,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To Governor,Veto,Assembly Veto Override,Senate Veto Override,Became Law
S.B. 74,Bill,Keep California Working Act,COVID-19,12/10/20,Sen. Andreas Borgeas (R-Fresno),,Not assigned,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB74,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Introduced,Asm principals,Sen principals,Asm coauthors,Sen coauthors,,,,,,,,,,,,,,,,,,,
Senators Borgeas and Caballero,,,"Bigelow, Chen, Choi, Davies, Flora, Fong, Gallagher, Eduardo Garcia, Lackey, Mathis, Nguyen, Patterson, Petrie-Norris, Seyarto, Smith, Voepel, and Waldron","Bates, Grove, Jones, Melendez, Nielsen, Ochoa Bogh, and Wilk",,,,,,,,,,,,,,,,,,,
Date,Action,Description,,,,,,,,,,,,,,,,,,,,,
12/10/20,Introduced. Sent to the Rules Committee for assignment and sent to printer.,"H.Res. 24 is the article of impeachment for President Donald J. Trump, charging that he incited violence against the American government in attempting to overturn the results of the presidential election, leading to the storming of the Capitol by his supporters. The article also calls for him to be disqualified from ever holding office again.",,,,,,,,,,,,,,,,,,,,,
12/11/20,Received from printer. May be acted upon on or after January 10.,"All 222 House Democrats voted for impeachment, along with 10 Republicans, the most members of the president’s party out of all four impeachments. Trump is the first president to be impeached twice, and will face a trial in the Senate, likely after he leaves office on January 20.",,,,,,,,,,,,,,,,,,,,,
1/11/21,Read for the first time.,,,,,,,,,,,,,,,,,,,,,,
