Name,Type,Description,Policy Area,Introduced,Sponsor,Coauthors,Committees,Link,Introduced,Failed Assembly Committee,Passed Assembly Committee,Failed Assembly,Passed Assembly,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To Governor,Veto,Became Law
A.B. 239,Bill,To allow winemakers to sell and deliver wine to consumers away from their licensed premises in the consumers' containers,Alcohol,1/13/21,Asm. Carlos Villapudua (D-Stockton),,Not assigned,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB239,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Introduced by,Principal coauthors,Coauthors,,,,,,,,,,,,,,,,,,,
Assembly Members Villapudua and Robert Rivas,Assembly Member Choi,"Assembly Members Aguiar-Curry, Bennett, Boerner Horvath, Cooper, Gallagher, Cristina Garcia, Kalra, Mathis, Quirk, Luz Rivas, Stone, Waldron, Wicks, and Wood, Senators Allen, Archuleta, Jones, Melendez, Nielsen, and Wiener",,,,,,,,,,,,,,,,,,,
Date,Action,Description,,,,,,,,,,,,,,,,,,,
1/13/21,Read for the first time and sent to print.,,,,,,,,,,,,,,,,,,,,
1/14/21,Received from printer. May be heard in committee on February 13.,,,,,,,,,,,,,,,,,,,,
