Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Failed House Committee,Passed House Committee,Failed House,Passed House,Resolving Differences,To Governor,Veto,Assembly Veto Override,Senate Veto Override,Became Law
S.B. 6,Bill,Neighborhood Homes Act,Housing,12/7/20,Sen. Anna Caballero (D-Merced),,Not assigned,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Introduced by,Principal coauthors,Coauthors,,,,,,,,,,,,,,,,,,,,,
"Senators Caballero, Eggman, and Rubio","Senators Atkins, Durazo, Gonzalez, and Wiener","Assembly Members Arambula, Carrillo, Cooper, Gipson, Quirk-Silva, and Robert Rivas, Senator Hueso",,,,,,,,,,,,,,,,,,,,,
Date,Action,Description,,,,,,,,,,,,,,,,,,,,,
12/7/20,Introduced and read for the first time. Sent to the Rules Committee for assignment and sent to print.,"H.Res. 24 is the article of impeachment for President Donald J. Trump, charging that he incited violence against the American government in attempting to overturn the results of the presidential election, leading to the storming of the Capitol by his supporters. The article also calls for him to be disqualified from ever holding office again.",,,,,,,,,,,,,,,,,,,,,
12/8/20,Received from printer. May be acted upon on or after January 7,"All 222 House Democrats voted for impeachment, along with 10 Republicans, the most members of the president’s party out of all four impeachments. Trump is the first president to be impeached twice, and will face a trial in the Senate, likely after he leaves office on January 20.",,,,,,,,,,,,,,,,,,,,,
