Name,Type,Description,Policy Area,Introduced,Sponsor,Coauthors,Committees,Link,Introduced,Failed Assembly Committee,Passed Assembly Committee,Failed Assembly,Passed Assembly,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To Governor,Veto,Became Law
A.B. 258,Bill,To prohibit certain homeless shelters from barring homeless people who have a pet,Homelessness,1/15/21,Asm. Carlos Villapudua (D-Stockton),,Not assigned,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB258,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Introduced by,Principal coauthors,Coauthors,,,,,,,,,,,,,,,,,,,
Assembly Member Villapudua,,"Assembly Members Nazarian, Santiago, and Ward, Senator Archuleta",,,,,,,,,,,,,,,,,,,
Date,Action,Description,,,,,,,,,,,,,,,,,,,
1/15/21,Read for the first time and sent to print.,,,,,,,,,,,,,,,,,,,,
