Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed Assembly Committee,Passed Assembly Committee,Failed Assembly,Passed Assembly,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To Governor,Veto,Became Law
ACR-8,Assembly concurrent resolution,"To honor Reverend Dr. Martin Luther King, Jr. and commemorate Dr. Martin Luther King, Jr. Day.",Holidays,1/8/21,Asm. Shirley Weber (D-San Diego),,Rules,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220ACR8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Introduced by,Principal coauthors,Coauthors,,,,,,,,,,,,,,,,,,,
Assembly Member Weber,,"Assembly Members Burke, Cooper, Gipson, Holden, Jones-Sawyer, Kamlager, McCarty, Aguiar-Curry, Arambula, Bauer-Kahan, Bennett, Berman, Bigelow, Bloom, Boerner Horvath, Bonta, Calderon, Carrillo, Chau, Chiu, Cooley, Cunningham, Megan Dahle, Daly, Davies, Flora, Fong, Friedman, Gallagher, Eduardo Garcia, Lorena Gonzalez, Grayson, Irwin, Kalra, Kiley, Lackey, Lee, Levine, Low, Maienschein, Mathis, Mayes, Medina, Mullin, Muratsuchi, Nguyen, O’Donnell, Petrie-Norris, Ramos, Rendon, Reyes, Luz Rivas, Robert Rivas, Rodriguez, Blanca Rubio, Santiago, Seyarto, Smith, Stone, Ting, Valladares, Villapudua, Voepel, Waldron, Ward, and Wood, Senator Bradford",,,,,,,,,,,,,,,,,,,
Date,Action,Description,,,,,,,,,,,,,,,,,,,
1/8/21,Introduced and sent to print.,"H.Res. 24 is the article of impeachment for President Donald J. Trump, charging that he incited violence against the American government in attempting to overturn the results of the presidential election, leading to the storming of the Capitol by his supporters. The article also calls for him to be disqualified from ever holding office again.",,,,,,,,,,,,,,,,,,,
1/11/21,Referred to the Assembly Rules Committee.,"All 222 House Democrats voted for impeachment, along with 10 Republicans, the most members of the president’s party out of all four impeachments. Trump is the first president to be impeached twice, and will face a trial in the Senate, likely after he leaves office on January 20.",,,,,,,,,,,,,,,,,,,
1/11/21,Rules Committee votes 11-0 to adopt the bill and send it to the Assembly floor for a vote (third reading).,,,,,,,,,,,,,,,,,,,,
1/15/21,Coauthors revised.,,,,,,,,,,,,,,,,,,,,
1/15/21,Passed Assembly and sent to Senate.,,,,,,,,,,,,,,,,,,,,
