Name,Type,Description,Policy Area,Introduced,Sponsor,Coauthors,Committees,Link,Introduced,Failed Assembly Committee,Passed Assembly Committee,Failed Assembly,Passed Assembly,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To Governor,Veto,Became Law
A.B. 266,Bill,To define felony hate crimes as a violent felony,Crime,1/15/21,Asm. Jim Cooper (D-Elk Grove),,Not assigned,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB266,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Introduced by,Principal coauthors,Coauthors,,,,,,,,,,,,,,,,,,,
Assembly Member Cooper,,,,,,,,,,,,,,,,,,,,,
Date,Action,Description,,,,,,,,,,,,,,,,,,,
1/15/21,Read for the first time and sent to print.,,,,,,,,,,,,,,,,,,,,
