Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Failed House Committee,Passed House Committee,Failed House,Passed House,Resolving Differences,To Governor,Veto,Assembly Veto Override,Senate Veto Override,Became Law
S.B. 57,Bill,"Would allow San Francisco, Oakland, and Los Angeles County to approve overdose prevention programs",Drugs/alcohol,12/7/20,Sen. Scott Wiener (D-San Francisco),,Not assigned,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB57,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
Introduced by,Principal coauthors,Coauthors,,,,,,,,,,,,,,,,,,,,,
Senator Wiener,"Assembly Members Chiu, Friedman, and Kamlager, Senator Eggman","Assembly Members Bonta, Carrillo, Ting, and Wicks",,,,,,,,,,,,,,,,,,,,,
Date,Action,Description,,,,,,,,,,,,,,,,,,,,,
12/7/20,Introduced and read for the first time. Sent to the Rules Committee for assignment and sent to print.,"H.Res. 24 is the article of impeachment for President Donald J. Trump, charging that he incited violence against the American government in attempting to overturn the results of the presidential election, leading to the storming of the Capitol by his supporters. The article also calls for him to be disqualified from ever holding office again.",,,,,,,,,,,,,,,,,,,,,
12/8/20,Received from printer. May be acted upon on or after January 7,"All 222 House Democrats voted for impeachment, along with 10 Republicans, the most members of the president’s party out of all four impeachments. Trump is the first president to be impeached twice, and will face a trial in the Senate, likely after he leaves office on January 20.",,,,,,,,,,,,,,,,,,,,,
