Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Failed House Committee,Passed House Committee,Failed House,Passed House,Resolving Differences,To Governor,Veto,Assembly Veto Override,Senate Veto Override,Became Law
S.B 240,Bill,To extend the authorization for certain food bank taxes credits.,Taxation,1/21/21,Sen. Susan Eggman (D-Stockton),,Not assigned,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB240,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Introduced by,Principal coauthors,Coauthors,,,,,,,,,,,,,,,,,,,,,
Senator Eggman,,"Senators Archuleta, Dodd, and McGuire, Assembly Members Gallagher, Cristina Garcia, Lackey, Mathis, and Robert Rivas",,,,,,,,,,,,,,,,,,,,,
Date,Action,Description,,,,,,,,,,,,,,,,,,,,,
1/21/21,Introduced and read for the first time. Sent to the Rules Committee for assignment and sent to print.,,,,,,,,,,,,,,,,,,,,,,
