Name,Type,Description,Policy Area,Introduced,Sponsor,Coauthors,Committees,Link,Introduced,Failed Assembly Committee,Passed Assembly Committee,Failed Assembly,Passed Assembly,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To Governor,Veto,Became Law
A.B. 316,Bill,"This bill would state the intent of the Legislature to enact legislation that would achieve pay equity in state employment across gender, racial, ethnic, and under-represented groups.",Wages,1/25/21,Asm. Jim Cooper (D-Elk Drove),,Not assigned,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB316,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Introduced by,Principal coauthors,Coauthors,,,,,,,,,,,,,,,,,,,
Assembly Member Cooper,,,,,,,,,,,,,,,,,,,,,
Date,Action,Description,,,,,,,,,,,,,,,,,,,
1/25/21,Read for the first time and sent to print.,,,,,,,,,,,,,,,,,,,,
1/26/21,Received from the printer. May be heard in committee in February 25.,,,,,,,,,,,,,,,,,,,,
