Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed Assembly Committee,Passed Assembly Committee,Failed Assembly,Passed Assembly,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To Governor,Veto,Became Law
H.R. 7,Assembly resolution,"To call upon President Donald J. Trump to resign, for the 25th Amendment to be invoked, or for impeachment by Congress.",Other,1/11/21,Asm. Chad Mayes (I-Palm Springs),,Not assigned,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220HR7,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,
Introduced by,Principal coauthors,Coauthors,,,,,,,,,,,,,,,,,,,
Assembly Member Mayes,"Assembly Members Bloom, Gipson, Kalra, Kamlager, Mullin, Santiago, and Wicks","Assembly Members Arambula, Bauer-Kahan, Bennett, Berman, Boerner Horvath, Bonta, Burke, Calderon, Carrillo, Chau, Chiu, Cooley, Cooper, Friedman, Eduardo Garcia, Lorena Gonzalez, Gray, Holden, Irwin, Jones-Sawyer, Lee, Levine, Low, Maienschein, McCarty, Muratsuchi, O’Donnell, Petrie-Norris, Quirk-Silva, Ramos, Rendon, Reyes, Luz Rivas, Robert Rivas, Rodriguez, Blanca Rubio, Stone, Ting, Villapudua, Ward, and Wood",,,,,,,,,,,,,,,,,,,
Date,Action,Description,,,,,,,,,,,,,,,,,,,
1/11/21,Introduced,"H.Res. 24 is the article of impeachment for President Donald J. Trump, charging that he incited violence against the American government in attempting to overturn the results of the presidential election, leading to the storming of the Capitol by his supporters. The article also calls for him to be disqualified from ever holding office again.",,,,,,,,,,,,,,,,,,,
1/11/21,Coauthors added.,"All 222 House Democrats voted for impeachment, along with 10 Republicans, the most members of the president’s party out of all four impeachments. Trump is the first president to be impeached twice, and will face a trial in the Senate, likely after he leaves office on January 20.",,,,,,,,,,,,,,,,,,,
1/11/21,Passed Assembly 51-6.,,,,,,,,,,,,,,,,,,,,
