Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed House Committee,Passed House Committee,Failed House,Passed House,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To President,Veto,Became Law
H.R. 1700,Bill,"To establish a broadband infrastructure finance and innovation program to make available loans, loan guarantees, and lines of credit for the construction and deployment of broadband infrastructure, and for other purposes.",Not assigned,3/9/21,"Rep. Jerry McNerney (D, CA-9)",https://www.congress.gov/bill/117th-congress/house-bill/1700/cosponsors,Energy and Commerce,https://www.congress.gov/bill/117th-congress/house-bill/1700/text,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Date,Action,Description,,,,,,,,,,,,,,,,,,,
3/9/21,Introduced in the House.,,,,,,,,,,,,,,,,,,,,
3/9/21,Referred to the House Energy and Commerce Committee.,,,,,,,,,,,,,,,,,,,,
