Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed House Committee,Passed House Committee,Failed House,Passed House
H.Res. 164,Resolution,Supporting the goals and ideals of National Engineers Week.,"Science, technology, and communications",2/25/21,"Rep. Jerry McNerney (D, CA-9)",https://www.congress.gov/bill/117th-congress/house-resolution/164/cosponsors,"Science, Space, and Technology/Education and Labor",https://www.congress.gov/bill/117th-congress/house-resolution/164/text,TRUE,FALSE,FALSE,FALSE,FALSE
Date,Action,Description,,,,,,,,,,,
2/25/21,Introduced in the House.,,,,,,,,,,,,
2/25/21,Referred to two House committees.,,,,,,,,,,,,
