Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed House Committee,Passed House Committee,Failed House,Passed House
H.Res. 172,Resolution,"Expressing support for the designation of February 28, as ""Desert Storm Veterans Day"".",Armed forces and national security,2/26/21,"Rep. Jerry McNerney (D, CA-9)",https://www.congress.gov/bill/117th-congress/house-resolution/172/cosponsors,Veterans' Affairs,https://www.congress.gov/bill/117th-congress/house-resolution/172/text,TRUE,FALSE,FALSE,FALSE,FALSE
Date,Action,Description,,,,,,,,,,,
2/26/21,Introduced in the House.,,,,,,,,,,,,
2/26/21,Referred to the House Veterans' Affairs Committee.,,,,,,,,,,,,
