Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed House Committee,Passed House Committee,Failed House,Passed House,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To President,Veto,Became Law
H.R. 1841,Bill,"To require the Assistant Secretary of Commerce for Communications and Information to establish a State Digital Equity Capacity Grant Program, and for other purposes.",Not assigned,3/11/21,"Rep. Jerry McNerney (D, CA-9)",https://www.congress.gov/bill/117th-congress/house-bill/1841/cosponsors,Energy and Commerce,https://www.congress.gov/bill/117th-congress/house-bill/1841/text,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Date,Action,Description,,,,,,,,,,,,,,,,,,,
3/11/21,Introduced in the House.,,,,,,,,,,,,,,,,,,,,
3/11/21,Referred to the House Energy and Commerce Committee.,,,,,,,,,,,,,,,,,,,,
